"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4ba8f4","THY3950 ","Turkey","1654025307","1654025307","27.9416","41.7899","11582.4","False","230.88","325.53","-0.33","","11910.06","6303","False","0","1"
"4ba8c6","THY7YH  ","Turkey","1654025307","1654025307","29.459","40.8855","1844.04","False","146.13","154.79","5.2","","1943.1","","False","0","1"
"4ba8c5","THY5QM  ","Turkey","1654025026","1654025026","29.2716","40.8848","205.74","False","70.4","64","-3.9","","274.32","","False","0","1"
"4ba8d9","THY2NX  ","Turkey","1654025307","1654025307","28.96","41.4505","7078.98","False","216.34","300.59","10.73","","7330.44","","False","0","0"
"503deb","LTC501  ","Lithuania","1654025307","1654025307","25.9761","42.3874","12496.8","False","215.22","139.27","0","","12824.46","7630","False","0","1"
"4ba932","THY9GX  ","Turkey","1654025307","1654025307","26.7106","44.1776","7109.46","False","194.68","143.71","10.73","","7391.4","7351","False","0","1"
"4ba92f","THY3YK  ","Turkey","1654025307","1654025307","28.2073","42.5436","8854.44","False","219.26","137.85","-7.48","","9204.96","7676","False","0","1"
"4ba99a","THY5RK  ","Turkey","1654025304","1654025306","28.7599","41.0902","1059.18","False","83.35","359.29","-4.55","","1158.24","7350","False","0","1"
"4ba975","THY7774 ","Turkey","1654025291","1654025291","33.4872","40.166","11277.6","False","233.12","91.52","0.33","","11658.6","","False","0","0"
"4b8e04","PGT67E  ","Turkey","1654025308","1654025308","29.9289","38.931","8534.4","False","197.04","10.99","0","","8884.92","","False","0","1"
"4b8e03","PGT2735 ","Turkey","1654025305","1654025305","29.1794","40.8507","693.42","False","87.43","63.43","-4.88","","800.1","","False","0","1"
"4b8e1a","PGT2208 ","Turkey","1654025305","1654025306","28.9379","40.7928","5654.04","False","188.31","269.06","15.28","","5829.3","","False","0","1"
"4b8e0d","PGT19N  ","Turkey","1654025305","1654025307","28.6935","37.8034","8709.66","False","212.29","174.86","-12.03","","9075.42","0741","False","0","1"
"4b8e0b","PGT25Y  ","Turkey","1654025307","1654025308","29.5887","41.1023","3101.34","False","150.8","344.16","12.03","","3253.74","","False","0","1"
"44a831","JAF9PW  ","Belgium","1654025307","1654025307","25.6366","42.6988","10972.8","False","222.57","298.28","0","","11308.08","3201","False","0","1"
"4bd152","CAI8305 ","Turkey","1654025307","1654025308","27.7157","43.2456","11582.4","False","225.22","316.2","0","","11910.06","1741","False","0","0"
"4ba912","THY4ES  ","Turkey","1654025305","1654025307","28.8041","41.9925","7086.6","False","200.82","149.69","-5.2","","7376.16","4141","False","0","1"
"4ba90c","THY3CH  ","Turkey","1654025307","1654025307","26.3205","44.4492","11430","False","229.16","142.2","-4.88","","11750.04","5542","False","0","1"
"4ba90d","THY87LT ","Turkey","1654025306","1654025306","27.9513","40.9751","2362.2","False","137.87","89.79","-5.2","","2514.6","0213","False","0","1"
"407573","EZY96MP ","United Kingdom","1654025221","1654025224","27.0898","36.7986","","True","4.63","357.19","","","","1522","False","0","0"
"407567","EZY94KG ","United Kingdom","1654025306","1654025306","28.7196","36.1756","11269.98","False","240.46","107.81","0","","11658.6","4751","False","0","0"
"4d22d5","EXS53CT ","Malta","1654025307","1654025307","26.5163","41.892","10066.02","False","242.26","129.57","0","","10416.54","2203","False","0","0"
